"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo"
"911","57921377","-1.25","5/6/2022","9:40:44 AM","RFELIZ","1","LCTO EM DUPLICIDADE"
"710","57794014","-1.25","5/6/2022","11:44:00 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"1006","57632847","-1.25","5/6/2022","1:54:00 AM","RFREITAS","1","LCTO EM DUPLICIDADE"
"711","57922993","-0.25","5/6/2022","9:04:45 AM","RFELIZ","1","CORTESIA DE DIÁRIAS"
"309","57852502","6","5/6/2022","4:34:59 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"601","57898901","34.25","5/6/2022","4:10:37 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"905","57799695","105","5/6/2022","10:58:00 AM","ECSOUSA","1","ERRO DO SISTEMA"
"410","57754276","108.5","5/6/2022","4:16:22 PM","RFELIZ","1","ERRO DE LANÇAMENTO"
"207","57720428","153","5/6/2022","11:34:16 PM","ECSOUSA","1","ERRO DE LANÇAMENTO"
"710","57794014","242.55","5/6/2022","7:44:10 PM","ECSOUSA","1","Erro de Laçto"
"","57930651","374.9","5/6/2022","6:38:41 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"707","57896992","-222.75","5/6/2022","10:46:14 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"1001","57669619","-1001","5/7/2022","8:31:00 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"905","57799695","596.4","5/7/2022","3:50:59 AM","RFELIZ","1","Erro de Laçto"
"1001","57669619","-50.05","5/7/2022","8:31:00 PM","CFIOR","1","ERRO DE LANÇAMENTO"
"1005","57398887","-8.23","5/7/2022","1:00:00 PM","ECSOUSA","1","CORTESIA DE DIÁRIAS"
"310","57794006","-8","5/7/2022","9:02:00 AM","ECSOUSA","1","HOSPEDE NÃO CONSUMIU"
"905","57799695","-8","5/7/2022","1:48:09 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"905","57799695","-8","5/7/2022","1:48:09 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
"905","57799695","-8","5/7/2022","1:48:09 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT"
