"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"1007","56785488","-16.5","6/5/2022","12:34:40 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1007","56785488","-0.83","6/5/2022","12:34:40 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"1111","57347433","-15","6/5/2022","9:39:00 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"301","58456228","511.25","6/5/2022","1:08:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"309","58427678","-6.08","6/5/2022","4:06:00 AM","RFREITAS","1","ERRO DO SISTEMA",""
"309","58427678","-121.52","6/5/2022","4:06:00 AM","RFREITAS","1","ERRO DO SISTEMA",""
"310","55434304","-8","6/5/2022","11:18:38 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"402","57855641","-12","6/5/2022","10:32:36 AM","IGPESSOA","2","LCTO EM DUPLICIDADE",""
"402","57855641","-6","6/5/2022","9:48:00 AM","IGPESSOA","1","ERRO DO SISTEMA",""
"609","58436391","-0.49","6/5/2022","8:20:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"609","58436391","-9.76","6/5/2022","8:20:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"611","58446605","271.66","6/5/2022","12:52:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"803","58436030","-17.2","6/5/2022","10:39:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"803","58436030","-0.86","6/5/2022","10:39:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"909","58331697","-0.55","6/5/2022","12:36:28 PM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"909","58331697","-11","6/5/2022","12:36:28 PM","IGPESSOA","1","ERRO DE LANÇAMENTO",""
"607","58336621","525","6/6/2022","2:05:01 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"709","58459677","206.98","6/6/2022","7:08:37 AM","RFELIZ","1","ERRO DO SISTEMA",""
"709","57731500","-0.91","6/6/2022","11:30:29 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"709","57731500","-18.12","6/6/2022","11:30:29 AM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"810","57804710","-39","6/6/2022","9:25:00 PM","ECSOUSA","1","CANCELAR NOTA FISCAL",""
"907","58308792","-255.26","6/6/2022","2:27:00 AM","RFREITAS","1","ERRO DO SISTEMA",""
"1202","58420622","-11.58","6/7/2022","12:26:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"1202","58420622","-231.5","6/7/2022","12:26:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
"609","58436391","-225","6/7/2022","10:02:00 PM","CALOLIVEIRA","1","AUTORIZADO PELO GERENT",""
